time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1713386633153393000,273.7673928222656,0.5374547839164734,0.23021729290485382,3.068349838256836,9.956000328063965,11.729974746704102,102.00001525878906,857.19287109375,-68.874951,-32.8999941
1713386634153393000,274.7673928222656,0.46917733550071716,0.6543699502944946,3.281090021133423,9.958999633789062,11.789583206176758,102.00039672851562,856.8953857421875,-68.8748286,-32.9000168
1713386635153393000,275.7673928222656,0.4519621431827545,0.3894868493080139,3.4076967239379883,9.960000038146973,11.939529418945312,101.00064849853516,856.64599609375,-68.8747054,-32.9000389
1713386636153393000,276.7673928222656,0.5263715982437134,0.23853720724582672,3.565281629562378,9.960000038146973,12.289666175842285,101.0002212524414,855.991455078125,-68.8745762,-32.90006
1713386637153393000,277.7673928222656,0.5224633812904358,0.33600595593452454,3.7491421699523926,9.958000183105469,12.749135971069336,101.0006332397461,855.6478271484375,-68.8744444,-32.9000827
1713386638153393000,278.7673928222656,0.48112931847572327,0.9350935816764832,4.12143611907959,9.979999542236328,13.163372993469238,100.00552368164062,854.99072265625,-68.8743095,-32.9001042
1713386639153393000,279.7673928222656,0.4955516755580902,0.873212456703186,4.411781311035156,10.031000137329102,13.545187950134277,100.00341033935547,854.458251953125,-68.8741708,-32.9001252
1713386640153393000,280.7673928222656,0.48298588395118713,0.42638009786605835,4.334834098815918,10.07699966430664,13.888962745666504,100.00067138671875,853.991455078125,-68.8740276,-32.900146
1713386641153393000,281.7673928222656,0.5394946336746216,0.42638009786605835,4.215170383453369,10.123000144958496,14.039543151855469,100.00028228759766,853.455078125,-68.8738768,-32.9001694
1713386642153393000,282.7673928222656,0.5146005153656006,0.6811754703521729,4.101811408996582,10.163000106811523,14.029776573181152,99.00062561035156,852.508056640625,-68.8737271,-32.9001907
1713386643153393000,283.7673928222656,0.4528850317001343,0.38288378715515137,4.196316719055176,10.204000473022461,13.451289176940918,96.99989318847656,852.0927734375,-68.8735841,-32.9002093
1713386644153393000,284.7673928222656,0.5254988670349121,0.3679673969745636,4.198261260986328,10.218999862670898,12.651867866516113,96.99908447265625,851.509521484375,-68.8734427,-32.9002246
1713386645153393000,285.7673928222656,0.5417830944061279,0.36124783754348755,4.194608688354492,10.206999778747559,12.250785827636719,94.00054168701172,851.346923828125,-68.8733091,-32.9002367
1713386646153393000,286.7673928222656,0.5060647130012512,0.3969886600971222,4.037477016448975,10.187999725341797,11.611720085144043,92.0001220703125,851.0458984375,-68.8731827,-32.9002424
1713386647153393000,287.7673928222656,0.5286322236061096,0.40459856390953064,3.9218921661376953,10.166000366210938,11.091524124145508,92.9994125366211,851.133056640625,-68.8730619,-32.9002467
1713386648153393000,288.7673928222656,0.5459245443344116,0.36878177523612976,3.924415349960327,10.145999908447266,10.760842323303223,94.99922180175781,850.09033203125,-68.8729462,-32.9002542
1713386649153393000,289.7673928222656,0.6217594742774963,0.33970576524734497,3.6790578365325928,10.11299991607666,10.790047645568848,97.9991226196289,849.6490478515625,-68.8728323,-32.9002631
1713386650153393000,290.7673928222656,0.5668750405311584,0.3753664791584015,3.4584546089172363,10.074000358581543,10.830096244812012,100.9990234375,849.21630859375,-68.8727202,-32.9002772
1713386651153393000,291.7673928222656,0.5794790387153625,0.39051249623298645,3.5015223026275635,10.03600025177002,10.820279121398926,103.99855041503906,849.3331298828125,-68.8726096,-32.9002945
1713386652153393000,292.7673928222656,0.6862602233886719,0.6300793886184692,3.466426372528076,10.01099967956543,10.700504302978516,103.00010681152344,849.4749755859375,-68.8724968,-32.9003169
1713386653153393000,293.7673928222656,0.6460385918617249,0.7602630853652954,3.401519775390625,9.993000030517578,10.45135498046875,100.00049591064453,849.1298828125,-68.8723862,-32.9003304
1713386654153393000,294.7673928222656,0.5601665377616882,0.6965630054473877,3.327561378479004,9.975000381469727,10.52869701385498,97.00178527832031,848.1142578125,-68.8722769,-32.9003407
1713386655153393000,295.7673928222656,0.5386704206466675,0.4252058267593384,3.4898793697357178,9.968000411987305,10.709318161010742,95.00070190429688,847.70654296875,-68.8721648,-32.9003467
1713386656153393000,296.7673928222656,0.547682523727417,0.3894868493080139,3.2957112789154053,9.968000411987305,10.869621276855469,95.9999771118164,847.2578125,-68.8720492,-32.9003547
1713386657153393000,297.7673928222656,0.615604817867279,0.3465544581413269,3.0594260692596436,9.968999862670898,11.109587669372559,97.99967956542969,846.62158203125,-68.87193,-32.9003659
1713386658153393000,298.7673928222656,0.5573194026947021,0.3471311032772064,3.0470962524414062,9.96500015258789,11.549151420593262,99.00031280517578,846.57177734375,-68.8718127,-32.9003808
